transcript	抄本
urbanization	n. 城市化；都市化
suburbanite	郊区居民
urge	催促；力劝，恳求
urgent	紧急的，迫切的
urgency	紧急情况
usher in	引发，产生
utilitarian	功利的；实利的
utility	公用事业公司；公用事业设备
utilize	利用
utilization	利用
utopian	乌托邦式的，空想的
utter	做声；发表
utterance	说话，说话的方式
utterly	完全地，绝对地
shutter	百叶窗；快门
butter	黄油，牛油
butterfly	[动]蝴蝶
vacant	空的，未被占用的
vacancy	空白，空缺
vacation	度假，休假
vacate	腾出，空出
vaccine	疫苗
vaccinate	进行预防接种
vacuum	真空
vague	模糊的；含糊的
valid	有效的；有根据的，正确的
validity	有效性，合法性
validate	使生效，确认，证实
valve	活门，阀
vanish	消失；灭绝
vapor	水汽，水蒸气
vaporize	（使）蒸发
vaporization	蒸发
evaporate	（使）蒸发，消失
evaporation	蒸发（作用）
variable	[数]变数, 变量
variation	变异；变种
variability	可变性
variety	变化，多样性
variance	分歧；差异
varied	杂色的，各式各样的
various	各种的
varnish	涂上清漆，修饰
vast	巨大的，大量的；范围广的
vastness	巨大
vault	拱顶；地下室
vaulted	拱状的
vegetation	植物，草木，植被
vegetable	蔬菜
vegetarian	素食者
vehicle	交通工具, 车辆
veil	隐藏，遮蔽 n. 面纱
vein	静脉
veining	脉络分布；矿脉
velocity	速度；速率
venerable	值得尊敬的，庄严的
veneration	尊敬, 崇拜
venom	n. （动物分泌并通过咬或刺注入的）毒液
venomous	有毒的
vent	通风孔；出烟孔
ventilate	使通风
ventilation	通风
venture	冒险（事业），投机活动
adventure	冒险，冒险的经历
venturesome	好冒险的；（行为）冒险的
venue	地点；会场
avenue	林荫道, 大街
verbal	口头的
nonverbal	不用语言的
verify	证明，证实
versatile	多才多艺的
verse	诗，韵文
universe	宇宙，世界
converse	谈话，交谈
diverse	不同的，变化多的
adverse	不利的；敌对的；相反地
reverse	相反的,倒转的 vt. 颠倒,倒转
version	译本，译文
conversion	变换，转化
vertebrate	脊椎动物（的）
invertebrate	无脊椎动物
vertical	垂直的，竖直的
vessel	船
vestige	痕迹，遗迹，残余
veteran	老兵；老手
veto	否决；否决权
viable	可行的，切实可行的
viability	生存能力，发育能力
vibrant	活泼的；生气勃勃的
vibrate	颤动，震动
vibration	振动，颤动
vicinity	附近，接近
victor	胜利者；获胜者
victory	胜利，战胜
victorious	获胜的，胜利的
vie	竞争
vigilance	警戒，警惕
vigor	精力，活力
vigorous	健壮的，精力旺盛的；有力的
vine	葡萄藤，蔓
ravine	沟壑，峡谷
violence	暴力，强暴
nonviolence	非暴力
violent	暴力引起的，暴烈的
viral	病毒的
virus	[微]病毒
virtue	美德
virtually	事实上，实质上
virtuosity	高超技巧
viscosity	粘度，粘性
viscous	粘滞的，粘性的
vision	视觉
visibility	可见度
revision	修订，修改
supervision	监督，管理
provision	供应；（一批）供应品；规定
envision	想象，预想
division	分开，分割
subdivision	细分，一部
vista	景色
vital	极重要的，致命的
vitalism	活机论, 生机说
vitalist	活力论者
vitality	活力，生命力
revitalization	新生,复兴
vivid	(光线、色彩)鲜艳的，强烈的
vocation	职业
vocational	职业的
avocation	(个人)副业，业余爱好
void	空白，空虚
devoid	全无的，缺乏的
volatile	挥发性的
volcanic	火山的
volcano	火山
voltage	电压
volume	体积，容积；量
voluntary	自愿的；志愿的
involuntary	自然而然的，无意的
volunteer	自愿者
voracious	狼吞虎咽的，贪婪的
vote	投票
voter	投票者，选举人
devote	投入于，献身
vowel	元音
voyage	旅行，航程
vulnerable	易受攻击的；易受伤害的
wade	涉水，费力行走
wagon	四轮马车
waist	腰，腰部
wrist	手腕，腕关节
wristwatch	手表
waive	放弃；免除
walkout	罢工
walnut	胡桃，核桃树
wane	减少，衰落
ward off	防止，挡住
ware	陶器，器皿
earthenware	土器，陶器
tableware	餐具
hardware	五金器具，硬件
glassware	玻璃器具
warehouse	仓库，货栈
warranty	担保，保证；保修
warrantable	可证明为正确的，可证实的
warrior	战士，勇士
wary	小心翼翼的，机警小心的
waste disposal	废物处理
watercourse	水道，河道
waterproof	防水的
wavy	波状的，起浪的；波动的
wax	蜂蜡；蜡状物
waxy	苍白的；光滑的
weapon	武器
wear away	磨去
wear out	用坏，磨损
weary	疲倦的；厌倦的
weariness	疲倦
weather	风化
weathering	侵蚀，风化
weave	迂回行进
weaverbird	[鸟]织巢鸟之一种
weaver	织布者，织工
wed	娶，嫁，结婚
wedding	婚礼
wedge-shaped	楔形的
weed	杂草
locoweed	[植] 疯草(牲畜食后引起疯草病)
seaweed	海草，海藻
weep	哭泣
weird	怪诞的，奇异的
weld	焊接
welfare	福利
well-being	安宁，福利
well organized	有组织的
whim	随意，冲动
whisk off	突然带走
whittle	削；削减
wholesale	批发的
wholesaler	批发商
wholesome	有益健康的
wildlife	野生动植物
willow	柳树
wind up	结束，终止
wipe out	毁灭，破坏
wit	智力，才智
withdraw	撤退
withdrawal	收回；撤退，退回
wither	（使）枯萎，凋谢
withstand	承受，抵住
witness	目击；为...作证
eyewitness	目击者, 见证人
woods	森林
cottonwood	[植]三叶杨,棉白杨
softwood	软木材
wool	羊毛
woolen	羊毛制的；毛织品的
woolly	多毛的
worldwide	全世界的
wrap	裹，包，捆
wreck	失事；失事的残骸
shipwreck	船只失事, 海难
wrestling	摔跤，格斗
wring	绞，拧，扭
wrinkle	皱纹，褶皱
yarn	纱，纱线
yawn	呵欠
yelp	狗吠
yield	生产；产生
yield to	屈服于...
yolk	蛋黄
zeal	热心，热情，热忱
zealous	热心的；狂热的
zenith	顶点，顶峰
zigzag	曲折的
zone	区域；地带
ozone	[化]臭氧
