preponderance	（数量或力量上的）优势 The preponderance of
proprietor	所有者，业主 [ph] is the proprietor of sth.[syn] proprietor和owner都表示所有者的意思，但proprietor通常用于商业或产权的所有者，而owner则可以广泛用于任何类型的所有权；possessor则更侧重于拥有某物，而不一定涉及所有权或商业经营。
proprietorship	所有权, 独资企业, 个体经营 [ph] sb. establish a proprietorship for [ph] sth. operates as a proprietorship
propulsion	推进；推进力 [ph] propulsion system [ph] the engine provides the necessary propulsion to do
prose	散文 [st] The newspaper article was written in a clear and concise prose
prosecute	对...起诉；告发 [ph] prosecute sb. for the crime
prospect	前景，期望 n./v. [ph] the prospect of doing sth.
...	勘探，采矿 [ph] prospecting in remote areas for potential minerals
prospecting	探矿
prospector	勘探者，采矿者
prosper	繁荣，成功 [ph] The business prospered under his leadership [st] the young entrepreneur's hard work and determination allowed her to prosper and establish a successful company
prosperity	繁荣，兴旺 [ph] prosperity of his business [syn]prosperity强调经济、财富或成功状况的繁荣和富裕；success指取得目标、达到预期结果或获得成就；wealth侧重于财富的积累和拥有；abundance表示充足、丰富或大量存在的状态。
prosperous	成功的，繁荣的 [ph] a prosperous community [syn] prosperous、successful和thriving都表示经济、事业或生活状况的繁荣、成功或富裕，但prosperous更强调整体繁荣和富裕的状态；successful侧重于取得成功和达到目标的状态；thriving强调事物的兴旺发展和繁荣。affluent主要指财富或资源丰富的状态。
protagonist	领导者
protectionist	贸易保护主义者
protein	蛋白质
protest	抗议
prototype	原型
protruding	突出的 [mean] protruding是一个形容词，用来描述物体或部分突出或伸出的状态。它指的是超出表面或周围环境的部分或物体。 [st] The nail was protruding from the wooden board [st] The child had a pair of large, protruding ears that made him easily recognizable.
provincialism	地方主义，心胸狭窄 [ph] small town's provincialism [ph] intellectual provincialism
provision	供应，供应品
provoke	激怒，惹起 [ph] sth. provok sb. to do sth. [st] The controversial decision by the government provoked widespread protests and public outrage.
provocative	挑拨的；煽动的 [ph] provocative artwork [ph] provocative statements [st] provocative、controversial和incendiary都指引起争议、激发反应或兴趣，但provocative更强调挑衅性或刺激性；controversial表示引起争议或争论的；incendiary指能够激起激烈情绪或引发冲突的。stimulating表示刺激或激发兴趣或活动的。
provocation	激怒，挑拨，刺激 [ph] deliberate provocation [ph] sth. viewed as a provocation
prudent	审慎的，深谋远虑的 [ph] take a prudent approach by doing [ph]It is prudent to do
pry open	撬开
psychology	心理学；心理
parapsychology	超心理学
publicize	（公开）宣传，宣扬 [ph] publicize their new product [ph] be publicized to raise awareness
publicity	公众关注、宣传、报道 [ph] received a lot of publicity [st] The scandal brought negative publicity to the politician.
puddle	小水洼
pueblo	印第安人村庄 [syn]区别: pueblo指的是具有特定文化和建筑风格的印第安人村庄；Native American village表示印第安人的村庄；settlement更通用，可指任何人类居住的定居点。
pulp	果肉，纸浆 [ph] orange pulp [ph] ecycled pulp
pulse	脉搏，脉冲 [ph] check the pulse [ph] pulses of electromagnetic waves
impulse	推动，刺激；冲动 [st] She couldn't resist the impulse to buy the dress [st] The applause from the audience acted as an impulse for the performer to give an encore.
pump	泵
pumpkin	南瓜
punch	重击
puncture	刺穿，戳破 n./v. [st] He got a puncture in his bicycle tire [ph] puncture the blister
acupuncture	针灸疗法
pungent	（气味、味道）刺激性的，辛辣的；尖锐的 adj. [ph]pungent aroma [ph] pungent smell
pupil	瞳孔 [ph] dilated pupils
purple	紫色
purify	提炼，精炼
purified	纯净的 [ph] purified water
purification	纯化，净化 [ph] purification process [ph] purification of the air
puzzle	难题，谜
puzzling	使迷惑的，使莫名其妙的
pyramid	金字塔
quail	鹌鹑
quaint	古雅的；别致的 [mean] Quaint 是一个形容词，用于形容某物具有古雅、古朴或别致的特点，有时也带有一种过时但有吸引力的感觉。它常用于描述古老的建筑、风景、乡村或风俗。 [ph]quaint cottages
acquaint	使熟知，通知 [ph] acquaint sb./oneself with sth.[syn] "acquaint" 和 "familiarize"、"introduce"、"inform" 都涉及向某人介绍或让其了解某事物。然而，"acquaint" 更强调通过接触或交流来建立某人对某事物的了解或熟悉。"familiarize" 强调通过学习或体验来使某人熟悉某事物，"introduce" 强调正式地向某人介绍新的人或事物，"inform" 则更侧重于向某人提供信息或知识。
acquaintance	相识的人 [ph] have some acquaintance with[syn]"acquaintance" 和 "associate"、"contact"、"connection" 都指的是人际关系中的认识或联系。然而，"acquaintance" 更强调我们认识但不太熟悉的人，常用于形容浅显的关系。"associate" 强调与某人有密切关系，通常指的是工作、业务或社交上的伙伴。"contact" 强调与某人建立或保持沟通和联系。"connection" 则指的是我们认识的人或机构，有某种联系或关联。
acquainted	了解的 [ph] be acquainted with sb./sth.
qualified	合格的
qualification	资格，条件 [ph] have necessary qualifications for [ph] obtained a qualification in
quantitative	定量的；数量的 [ph] quantitative methods [ph] quantitative analysis
quantum theory	（物理）量子论
quarry	采石场，露天矿场
quarter	四分之一
quarterly	每季地 [ph]quarterly financial report [ph] quarterly meeting
headquarters	司令部，总部
quartz	石英 [ph] made of quartz [ph] Quartz crystals
quench	淬火
quest	追求 [ph] on a quest for knowledge [ph] embark/goes on a quest to do [syn] 区别: "quest"、"search"、"pursuit"、"adventure" 都涉及到寻求、追求或探索的概念。然而，它们的用法和含义略有不同。"quest" 通常指一个寻求特定目标或目的的旅程，强调追求或探索的行为。"search" 指寻找特定的事物或信息，更加侧重于寻找的过程和结果。"pursuit" 表示追求某种目标或追求某种行为或状态，可以指追求知识、追求成功等。"adventure" 指冒险或探险的活动或经历，通常涉及风险和刺激。
questionable	可疑的 [ph] their motives are questionable
questionnaire	调查表, 问卷 [ph] a ~ about sth.
unquestioning	不加疑问的,不犹豫的 [ph] unquestioning obedience/acceptance [syn] 区别: "unquestioning"、"unwavering"、"blind obedience"、"absolute" 都表示毫无疑问、无条件或绝对的态度。然而，它们的用法和强调点略有不同。"unquestioning" 强调对某事的接受或服从没有任何怀疑，表示绝对的信任和忠诚。
unquestionably	无疑地，无可非议地
request	请求，要求
bequest	遗产，遗赠 [ph]make a bequest to sth.
sequester	使退隐，使隔绝 [ph] sequester sb. [ph] be sequestered
equestrian	骑马的, (古罗马)市民特权阶层成员的, 骑士阶层的 n./v.
quiescent	静止的，寂静的 [st] The volcano has been quiescent for several years.[st]The company's profits have remained quiescent in recent months. [syn] 区别: "quiescent"、"dormant"、"inactive"、"idle" 都表示静止或不活动的状态，但在使用上有些许区别。"quiescent" 强调事物处于静止、不活动或沉寂的状态，暗示可能是暂时的或暂停的状态。
quilt	棉被 [syn]区别: "quilt"、"coverlet"、"bedspread" 都指的是用于盖在床上的覆盖物。然而，它们的材质、结构和用途可能有所不同。"quilt" 是由多层布料缝制而成的被子，通常有填充物，并且经过缝制以保持填充物的均匀分布。
quilter	缝被子的人
quota	配额；定量，定额 [ph] quota of sales [ph] set a quota on [ph] have a quota system for [mean] "quota" 指的是为了控制、分配或限制某种资源、权利或活动而设定的特定数量或份额
quotation	引用语 [syn]"quotation" 是从他人的著作、演讲或文字中摘录的一段话，强调提供一个准确的引文或引用他人的观点 [ph] use a quotation from sb.
radar	雷达
radiant	发光的；荣光焕发的[st] The sun cast a radiant glow over the ocean at sunrise. [st] She had a radiant smile on her face when she received the good news.
radiate	放射；辐射 [st] The sun radiates warmth and light to the surrounding environment.
irradiate	照射 [ph] ~ sth. with sth. [syn] 区别: "irradiate"、"shine"、"illuminate"、"beam" 都表示照射或照明物体或区域。然而，它们在用法和强调上有所不同。"irradiate" 强调使用光、辐射或能量对物体进行照射，通常用于科学、医学或技术上的研究和应用。"shine" 指物体表面反射光线或发出光亮，可以是自然光、人工光或物体自身的光。"illuminate" 意味着用光线或照明设备照亮某个区域，以提供光线或清晰度。"beam" 强调光线以集中、明亮或有力的方式照射，可以指激光束、聚光灯束等。
radiation	辐射，发光，放热 [ph] exposure to radiation
radical	根本的；激进的
radically	根本上 [ph]radically different approach [syn] 区别: "radically"、"drastically"、"fundamentally"、"profoundly" 都表示在程度、方式或性质上发生重大或显著的变化或转变。然而，它们在语气和强调上有所不同。"radically" 强调变化的程度或方式是根本性的，可能涉及彻底的改变或采用激进的方法。"drastically" 强调变化的程度非常大，突出变化的剧烈性或明显性。"fundamentally" 指的是变化涉及事物的基本原则、性质或结构，强调变化的根本性。"profoundly" 意味着变化是深刻而广泛的，可能对个体、社会或思想产生深远的影响。
sporadically	偶发地, 零星地 [ph] occur sporadically [syn]"sporadically"、"occasionally"、"intermittently"、"infrequently" 都表示发生或发生的方式不连续、不规律或间断。然而，它们在频率和程度上有所不同。"sporadically" 强调事物发生的不规律性和零星性，可能指在不同的时间或地点发生，没有固定的模式或规律。
raft	筏，救生艇
graft	嫁接，接枝 n./v. [ph] perform a skin graft to repair the wound [st] The gardener grafted a rose cutting onto a different plant to create a hybrid.
craft	工艺，手艺 n./v. [st] She is skilled in the craft of pottery
aircraft	航行器
spacecraft	太空船
hovercraft	气垫船
rage	风尚，风靡一时的事物 [ph] be a rage among
coverage	覆盖
news coverage	新闻报道 news coverage of the election/the natural disaster
outrage	凌辱，引起...义愤
enrage	激怒
mirage	海市蜃楼；幻想 [ph] a ~
sewerage	污水(系统) [ph] sewerage system/sewerage infrastructure
forage	草料 n. [ph]a large quantity of forage v. 觅食 [ph] forage for
ragged	褴褛的，破烂的 [ph] ~ coat/pages
ragtime	拉格泰姆音乐
raid	袭击 [ph] conducted/launch a raid on
braid	编织 [st]She braided her long hair into a beautiful fishtail braid.[ph]braid the ropes v./n.[ph]braid pattern
rainfall	降雨；降雨量
rally	召集，集合 n./v.[st]The leader rallied the supporters with an inspiring speech.[st]The protesters gathered in the park for a rally against social injustice.
rampant	蔓生的，猖獗的 [st] The problem of pollution has reached rampant levels in the city. [st] Corruption is rampant in the government
ranch	农场，牧场 ranching industry
ranching	放牧的
rancher	大农场经营者；牧场工人
range	行列；范围
a range of	一系列的东西
range from...to...	从...到...范围不等
rank	排列，归类
rare	稀有的
rarefy	使稀少，使稀薄 the air rarefied
rarely	很少地，罕有地
ratify	批准 ratify the new constitution
ration	定量，配给量[ph]survive on limited rations of food
rationing	（食物等的）配给制度 [ph]~ measures [ph]~ of water
rational	理性的，合理的
rattle	拨浪鼓；格格声[ph]The rattle of the train wheels
rattlesnake	响尾蛇
raucous	喧闹的 The raucous laughter/crowd/street
raven	大乌鸦 [ph]a flock of ravens
ravine	沟壑，峡谷
ray	光线
rayon	人造纤维 [ph]rayon fabric
crayon	蜡笔、彩笔及其绘画
fray	使磨损 [st]The edges of the old book cover began to fray, revealing the worn pages beneath.
foray	突袭 [ph]make a foray into jungle/industry [ph] foray into sth.
tray	碟，盘子
array	编队；大批
betray	出卖，背叛
spray	喷雾, 喷射，喷溅 n./v. [ph] spray bottle [ph] spray of water [ph] sprayed the crops
raze	夷为平地 [ph] razed the building [ph] razed the fortress [ph] raze the slums
graze	放牧，吃草 [ph] graze in the meadow/pasture
craze	狂热
readily	容易地；欣然地，立刻地 [st] She readily agreed to help me with my project [st] The information is readily available on the company's website.
readjust	重新调整 [ph]readjust to the different culture and lifestyle [ph]readjust the settings [syn]"readjust" 强调的是重新调整、重新适应或重新调整某物的位置、状态或情况。与 "reorganize" 和 "rearrange" 相似，但 "readjust" 更强调对已有事物进行小幅度或局部性的调整。与 "adapt" 相似，但 "readjust" 更偏重于重新调整已有的情况，而 "adapt" 则更强调适应新的情况。
realization	意识到；认识到；理解；实现[st] It was a moment of realization when she finally understood the true meaning of her friend's words. [syn]"realization" 强调的是意识到、认识到或理解某个事实、情况或概念的过程或结果。与 "awareness" 和 "understanding" 相似，但 "realization" 更强调对事实或情况的深入认识和理解。与 "comprehension" 相似，但 "realization" 更加突出在认识或理解后所产生的实际结果或体验。与 "achievement" 相似，但 "realization" 更侧重于实现梦想、目标或计划。
realm	Realm 是一个名词，指的是领域、范围、领土或领地。它可以表示实际或抽象的范围，特别是在政治、社会或思想方面。[ph] realms of fantasy and imagination [ph]celestial realms
reap	Reap 是一个动词，表示收割、收获或获得（好处、回报等）。它通常用于指通过努力或投入某种行动而获得某种结果或利益。[ph]reaping the wheat [ph]reap the rewards [syn]"reap" 强调的是通过努力或投入某种行动而获得某种结果或利益。与 "harvest" 和 "gather" 相似，但 "reap" 更强调收割或收获的意义。与 "obtain" 相似，但 "reap" 更突出通过努力或行动而获得的结果。与 "gain" 相似，但 "reap" 更侧重于获得特定结果或利益。
rear	表示抚养、养育或培养，特别是指抚养孩子或动物的成长 v.[ph]rears her children
rebel	叛徒 [st]The rebels fought against the oppressive regime.
rebellion	谋反，叛乱 [st]The country faced a rebellion as the rebels took up arms against the government.
rebellious	造反的，反叛的 [ph]rebellious attitude/act/students
rebuke	斥责，谴责 [syn]"rebuke" 表示以严厉的方式批评或责备他人的不当行为。与 "reprimand" 和 "admonish" 相似，但 "rebuke" 更强调以较为严厉的方式进行谴责或指责。与 "chastise" 相似，但 "rebuke" 更多指口头上的斥责或指责，而 "chastise" 则更强调对行为的严厉惩罚。
recall	忆起，记忆 [st]I can't recall where I left my keys.
receptacle	容器；容纳物品的地方；接口[ph]designated receptacle [ph]electrical receptacle[ph]glass receptacle
reception	接待；招待会 [ph]wedding reception[syn]与 "welcome" 相似，但 "reception" 更加正式和正式场合。与 "gathering" 相似，但 "reception" 更强调在特定目的下的欢迎和接待。作为接收的含义，"reception" 强调接收质量或接收状况，而 "acceptance" 更侧重于接受或认可。
receptionist	招待员 [ph]hotel receptionist
receptive	善于接受的，能接纳的[ph]receptive listener[ph]receptive to the teacher's guidance
receptor	接受器，感受器[ph]receptors in our skin[ph]olfactory receptors[syn]与 "sensor" 和 "detector" 相似，但 "receptor" 更常用于生物学和医学领域，强调生物体对刺激或信号的感知能力。与 "transducer" 相似，但 "receptor" 更专注于感知和接收的功能，而 "transducer" 更强调将一种形式的能量或信号转换为另一种形式的能力。
recession	萧条时期，（经济）衰退
recipe	烹饪配方[ph]followed the recipe to do[ph]recipe for spaghetti sauce
recipient	接受者，接收方 [ph]recipient of an award/the scholarship
recital	独奏会 [ph]gave a ~[ph]dance ~[ph]~ of the story
reckless	轻率的，鲁莽的
reckon	计算；估计，猜想 [st]I reckon it will take about an hour to complete the task.[st]They reckon him to be one of the best chefs in the city.[syn]"reckon" 表示估计、计算或认为。与 "estimate" 和 "calculate" 相似，但 "reckon" 更常用于非正式场合，强调主观推测或判断。与 "believe" 相似，但 "reckon" 更侧重于根据已知事实或信息进行推测。
reclaim	回收,重新利用,重新获得[ph]reclaimed the land[ph]reclaimed discarded objects
recognize	识别，辨认
recognition	赞誉，承认 [ph]received recognition in the music industry [ph]meet with recognition from sth.
recoil	弹回，反冲 n./v. [st]The loud noise made him recoil in fear. [ph]gun's recoil [syn]"recoil" 表示后退、退缩或畏缩，通常是因为惊恐、厌恶或痛苦。与 "flinch" 和 "shrink" 相似，但 "recoil" 更强调因恐惧或厌恶而产生的反应。与 "startle" 相似，但 "recoil" 更强调因突然或意外的刺激而产生的后退或畏缩。
recollection	回忆，记忆 [ph]recollections of my childhood/the event [ph]shared her recollections of sth.[syn]"recollection" 表示回忆、记忆或追忆。与 "memory" 和 "reminiscence" 相似，但 "recollection" 更强调个人或共同的回忆。与 "remembrance" 相似，但 "recollection" 更多指个人的回忆或特定事件的回忆。
recommend	推荐
recommendation	推荐，介绍（信）
reconstruct	重建，改进
reconstruction	复兴，改造，再建
recount	叙述 v. [ph]recount the adventure [ph]asked to recount[ph]had to recount the numbers[syn]"recount" 表示叙述、讲述或重新计算。与 "narrate" 和 "retell" 相似，但 "recount" 更强调详细地叙述或讲述一个故事、事件或经历。与 "recompute" 相似，但 "recount" 更常用于描述重新计算或复查某个数值或结果。
recreation	消遣，娱乐 [ph]outdoor recreation activities [syn]"recreation" 指的是娱乐、休闲或消遣。与 "leisure" 和 "pastime" 相似，但 "recreation" 更强调从日常工作或责任中解脱出来的活动。与 "entertainment" 相似，但 "recreation" 更广泛，包括各种形式的娱乐活动。
recreational	娱乐的 [ph]engage in recreational activities
recruit	征兵，征募；补充[ph]recruited new soldiers to do/for sth. [syn]"recruit" 表示招募、征募或吸收。与 "enlist" 和 "hire" 相似，但 "recruit" 更常用于指军队或组织寻找并引入新成员。与 "engage" 相似，但 "recruit" 更强调新成员的招募过程和行为。
rectangle	长方形
rectangular	矩形的，长方形的
rectify	矫正 [ph]rectify the mistake/issues[ph]rectify the economic downturn[syn]"rectify" 表示纠正、改正或修正。与 "correct" 和 "amend" 相似，但 "rectify" 更强调对错误、问题或不正常状态进行全面的修复或改善。与 "remedy" 相似，但 "rectify" 更侧重于解决问题或恢复正常状态。
recur	重现，再来；复发[ph]has been recurring for months[ph]sth. recurs[ph]the illness can recur periodically[syn]"recur" 表示再次发生、重现或回到。与 "repeat" 和 "reoccur" 相似，但 "recur" 更强调事物或情况在时间上间歇性地重复出现。与 "return" 相似，但 "recur" 更侧重于指某事物或情况的再次发生或重现。
recurring	往复的，再次发生的
recycle	使再循环，再利用
redirect	（信件）重寄；使改变方向
reed	芦苇
refine	精炼，精制
refined	优雅的；精制的
refinement	[mean]refinement 是一个名词，表示改进、精炼或提炼的过程或结果，通常指通过对细节或细微之处进行改良或改善，使之更加优雅、精确或完善。[ph]cultural refinement[ph]level of refinement[ph]refinement of the design/the manufacturing process
reflection	反映
reform	改革，革新
reformer	改革家，改革运动者
reformism	改革主义
refraction	折光，折射[ph]refraction of light[ph]refraction of sound waves
refreshing	提神的,凉爽的;使人耳目一新的
refreshment	小吃;饮料[ph]light refreshments[ph]complimentary refreshments [syn]"refreshment" 指的是提神、恢复精力或休息期间所享用的食物或饮料。与 "snack" 和 "beverage" 相似，但 "refreshment" 更强调在活动、会议或旅途中提供的小吃、饮料或点心。与 "revitalization" 相似，但 "refreshment" 更常用于指在短暂休息或活动期间享用的食物或饮料。
refrigerate	使冷却，冷藏
refrigerator	冰箱，冷藏库
refrigeration	冷藏，冷却
refrigerant	制冷剂
refurbish	翻新[syn]"refurbish" 表示翻新、重新装修或修复。与 "renovate" 和 "restore" 相似，但 "refurbish" 更强调对物体、建筑或设备的全面修复、改进或翻新。与 "revamp" 相似，但 "refurbish" 更常用于指将物体恢复到良好状态的修复。[ph]refurbish the old house [ph]refurbished the office
refute	反驳 [syn]区别: "refute" 表示驳斥、反驳或否认。与 "rebut" 和 "contradict" 相似，但 "refute" 更强调提供证据或论据来证明某个主张、观点或陈述是错误的或不正确的。与 "disprove" 相似，但 "refute" 更常用于指针对某个特定主张或观点的反驳。
regardless	不管，不顾，不注意
regardless of	不管，不论
regenerate	使再生，新生；更新 [ph]~ sth.[ph]sth. ~[syn]"regenerate" 表示再生、重建或恢复。与 "renew" 和 "restore" 相似，但 "regenerate" 更强调通过重新生长、修复或重建来恢复某物。与 "rejuvenate" 相似，但 "regenerate" 更广泛，可以用于恢复生命、能量或活力。
regeneration	（灵魂）重生，新生[ph]~ of sth.[ph]sth. ~
regime	政权，政体；政治制度
regimentation	严格的管理;规定性[ph]operates with a high level of ~[ph]had a culture of ~[ph]imposed strict ~ on sb.[syn]"regimentation" 表示严格的管理、规定或组织。与 "control" 和 "discipline" 相似，但 "regimentation" 更强调通过强制性的规定和控制来统一和调节个体或群体的行为、活动或组织结构。与 "regulation" 相似，但 "regimentation" 更常用于描述更严格和强制性的管理形式。
register	登记
regulate	管制，控制 verb. [ph]regulate the financial industry
regulatory	监管的;调控的 [ph]regulatory body/requirements/measures
regulation	规则，规章 [ph]introduce new regulations to do[ph]implement internal regulations to do
rehabilitate	使(身体)康复；使复职；使复元[ph]rehabilitate after the surgery[syn]"rehabilitate" 表示康复、恢复或使恢复正常。与 "restore" 和 "recover" 相似，但 "rehabilitate" 更强调通过医疗、治疗或重建来帮助某人康复或恢复到正常的身体或心理状态。与 "recondition" 相似，但 "rehabilitate" 更常用于指人的康复过程。
rehabilitation	恢复，复员
rehearse	预演，排练
reign	统治，支配[ph]reign of terror [ph]reign over
reigning	统治的，起支配作用的[ph]reigning champion/monach
sovereignty	统治权，主权[st]The president asserted the nation's sovereignty over the disputed territory.
reimburse	偿还 v. ~[st]The company will reimburse employees for their business-related expenses.[st]The airline reimbursed passengers for the canceled flights by providing vouchers for future travel.
reinforce	加强
reinterpretation	重新解释，纠正性说明[mean]reinterpretation 是一个名词，表示重新解释或重新理解，指对某个观点、理论、文本或情况进行新的解释或理解。[ph]a reinterpretation of
reiterate	重申，反复地说[ph]reiterate a point/an apology/the demand
reject	拒绝，抵制
rejection	拒绝
rejuvenate	(使)返老还童；(使)恢复活力[ph]rejuvenate the body/mind/skin
rekindle	再点火；使再振作
relax	（使）松弛，放松
relaxed	不拘束的；悠闲的
relaxation	松弛，缓和
relay	v. 转达 relay the information/compliant ton. 接力赛 relay race
release	释放
relevant	有关的，切题的
relevance	相关性[ph][ph]the relevance of the topic to everyday situations
nonrelevant	非关联的，非相关的[mean]在大多数情况下，这两个词在含义上是相似的，可以互换使用。它们都表示某物与特定话题、情境或问题无关，不具有相关性。
irrelevant	不相关的，不切题的
reliable	可靠的，可信赖的
reliant	依靠的，信赖自己的[ph]be reliant on[ph]self-reliant
reliance	依靠；依靠的人或物[ph]self-reliance
reliability	可靠性
relic	遗迹，纪念物[ph]a relic of [ph]a relic from
relieve	减轻
relieved	放心的；免除的
religion	宗教
religious	信奉宗教的，虔诚的
reluctant	不情愿的，勉强的
remainder	剩余部分[ph]the remainder of
remaining	剩余，残余
remark	评论，注释 n. make a remark on
remarkable	显著的，值得注意的
remarkably	显著地，引人注目地
remedy	药物 [st]Drinking warm lemon water is a popular home remedy for sore throat.
remind	提醒，使记得
reminder	提醒者
remnant	残余，遗迹[st]The old castle stands as a remnant of the medieval era.[st]She used the remnants of fabric to create a patchwork quilt
remote	遥远的，偏僻的
renaissance	复活；文艺复兴
render	给予，提供[st]The company rendered excellent customer service.[st]render assistance to sb.[ph]render a verdict of guilty
rendering	表现，描写 n.[ph]her rendering of the poem
surrender	交出，放弃；投降
